cgpa_gap,skill_match_count,current_year,tenth_pct,twelfth_pct,is_eligible
0.64,1,1,72.7,88.0,1
-0.43,1,4,86.5,77.1,0
1.0,1,3,88.8,100.0,1
1.15,2,2,72.8,79.5,1
-1.16,1,2,70.6,74.9,0
-0.64,4,1,85.4,82.3,0
0.5,1,1,83.7,72.3,1
0.15,4,3,63.9,56.3,1
0.39,2,1,66.7,73.4,1
-0.28,5,3,52.6,73.2,1
1.1,4,2,84.0,58.5,1
1.02,7,1,75.4,75.2,1
0.45,3,3,76.4,53.3,1
1.3,2,3,61.1,72.2,1
0.77,4,3,67.0,78.7,1
-0.29,5,1,73.2,77.1,0
0.7,3,3,71.3,71.5,1
-0.37,4,4,79.2,75.1,1
1.1,3,2,83.8,67.4,1
0.36,2,4,100.0,76.1,1
0.25,2,3,77.8,76.6,1
-0.14,7,2,89.2,66.1,1
1.38,5,4,69.7,78.9,1
0.28,0,4,61.3,78.9,0
0.06,7,1,74.5,74.2,1
0.12,5,4,62.0,100.0,1
0.83,0,1,78.1,74.5,0
0.69,5,1,70.2,72.9,1
0.73,4,1,58.5,71.4,1
0.74,7,2,95.4,65.3,1
2.11,3,4,72.6,83.5,1
0.07,4,3,61.6,68.5,1
-0.01,2,3,87.0,69.8,0
-0.25,2,1,70.7,70.1,0
0.89,4,3,88.9,65.2,1
1.3,6,2,70.7,56.7,1
0.31,7,2,72.6,70.9,1
-0.27,6,2,81.4,85.6,1
-0.26,4,1,83.9,78.2,1
0.92,4,4,85.7,93.2,1
0.99,2,3,77.1,84.3,1
0.83,6,2,83.3,81.8,1
-0.13,2,1,85.5,96.7,1
0.59,2,4,80.0,74.9,1
0.49,6,2,76.6,76.7,1
0.57,4,2,63.5,75.9,1
1.1,2,3,84.0,93.0,1
0.58,6,1,78.4,76.0,1
0.94,7,3,73.9,68.9,1
0.45,2,4,90.8,82.5,1
0.63,4,2,63.7,67.0,1
0.91,3,1,94.4,81.9,1
-0.77,5,1,77.8,80.6,1
0.14,7,1,81.2,73.9,1
0.02,4,3,74.0,82.2,1
-0.11,6,2,61.3,59.6,1
0.18,4,1,76.6,77.8,1
1.6,7,3,81.3,70.9,1
-0.29,3,1,84.8,100.0,1
1.17,3,2,76.0,77.7,1
-0.95,3,4,56.1,69.4,0
0.13,7,1,62.6,60.8,0
0.53,4,1,98.5,90.4,1
0.87,1,2,67.1,72.1,1
0.97,0,3,92.3,67.3,1
1.03,4,1,68.7,79.7,1
0.12,6,4,76.2,83.1,1
0.03,3,1,84.3,83.0,1
1.09,4,4,69.8,76.2,1
0.25,6,3,93.9,77.8,1
-0.62,4,1,78.8,78.6,0
-0.51,7,1,82.6,79.7,1
-0.34,5,1,75.3,80.7,1
0.8,5,2,84.6,88.0,1
0.51,6,2,93.8,76.6,1
0.95,5,3,76.7,67.0,1
0.06,0,2,95.3,74.4,0
0.53,3,3,71.9,84.3,1
0.9,1,2,85.6,56.3,1
0.15,4,2,82.9,56.4,1
0.77,1,2,67.3,86.1,1
-0.13,4,2,80.1,92.7,1
0.11,2,4,78.1,62.1,1
0.09,0,1,69.5,77.1,0
-0.56,0,2,81.6,71.6,0
0.79,4,4,79.5,73.1,1
0.02,0,3,77.3,79.4,0
0.41,6,1,77.3,61.8,1
0.78,6,4,77.1,63.8,1
0.76,5,1,74.3,72.7,1
